Module                  Size  Used by
snd_pci_acp3x          20480  0
rfkill                 40960  6 acer_wmi,bluetooth,cfg80211
libphy                241664  3 r8169,mdio_devres,realtek
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
acer_wireless          16384  0
wmi                    36864  3 video,acer_wmi,wmi_bmof
mac_hid                12288  0
pkcs8_key_parser       12288  0
dm_mod                229376  0
loop                   45056  0
nfnetlink              20480  3 nf_conntrack_netlink
ip_tables              36864  2 iptable_filter,iptable_nat
x_tables               69632  6 xt_conntrack,iptable_filter,xt_addrtype,ip_tables,iptable_nat,xt_MASQUERADE
ext4                 1183744  2
crc32c_generic         12288  0
crc16                  12288  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  221184  1 ext4
serio_raw              20480  0
atkbd                  40960  0
libps2                 20480  2 atkbd,psmouse
vivaldi_fmap           12288  1 atkbd
nvme                   65536  0
xhci_pci               24576  0
crc32c_intel           16384  5
nvme_core             258048  1 nvme
xhci_pci_renesas       24576  1 xhci_pci
nvme_auth              28672  1 nvme_core
i8042                  57344  1 acer_wmi
serio                  28672  6 serio_raw,atkbd,psmouse,i8042
